Source,User ID,Source
Offline Campaign,BLF2490294,Offline Campaign
Organic,BLJ218685,Organic
Snapchat,BLL1157429,Snapchat
Google,BLL695871,Google
Google,BLN5103104,Google
Google,BLR197683,Google
Facebook,BLV137314,Facebook
Offline Campaign,BLY1869144,Offline Campaign
Offline Campaign,BMD2221270,Offline Campaign
Snapchat,BMR514445,Snapchat
Offline Campaign,BMS1940428,Offline Campaign
Organic,BMZ1570251,Organic
Snapchat,BNE3109662,Snapchat
Facebook,BNH1770044,Facebook
Organic,BNJ1934824,Organic
Snapchat,BNP1745291,Snapchat
Google,BNS1210536,Google
Snapchat,BNX169768,Snapchat
Offline Campaign,BNZ2414136,Offline Campaign
Offline Campaign,BOA2515861,Offline Campaign
Snapchat,BOB1828044,Snapchat
Organic,BOB821492,Organic
Snapchat,BOG9107217,Snapchat
Instagram,BOH22102156,Instagram
Facebook,BOY2376578,Facebook
Google,BPE2629127,Google
Snapchat,BPN16106563,Snapchat
Instagram,BPO261512,Instagram
Instagram,BPR1117097,Instagram
Instagram,BPX1989652,Instagram
Facebook,BPX259622,Facebook
Facebook,BPX633441,Facebook
Snapchat,BQD1498715,Snapchat
Facebook,BQF3109371,Facebook
Facebook,BQG250136,Facebook
Organic,BQJ122587,Organic
Offline Campaign,BQL2465028,Offline Campaign
Snapchat,BQY1391533,Snapchat
Offline Campaign,BRP2474085,Offline Campaign
Instagram,BRQ680409,Instagram
Snapchat,BRR2056655,Snapchat
Snapchat,BSJ22102069,Snapchat
Offline Campaign,BSR2037677,Offline Campaign
Organic,BSS1090381,Organic
Snapchat,BSU2429388,Snapchat
Offline Campaign,BSX1673176,Offline Campaign
Facebook,BSY1488692,Facebook
Instagram,BTA460207,Instagram
Snapchat,BTF1686802,Snapchat
Offline Campaign,BUA358662,Offline Campaign
Facebook,BUK1883010,Facebook
Facebook,BUQ1428929,Facebook
Facebook,BUT2618267,Facebook
Offline Campaign,BUX1514460,Offline Campaign
Organic,BVA1818027,Organic
Offline Campaign,BVI2078558,Offline Campaign
Snapchat,BVI2235694,Snapchat
Offline Campaign,BVK672033,Offline Campaign
Snapchat,BWD492409,Snapchat
Instagram,BWN2339378,Instagram
Offline Campaign,BWP1061809,Offline Campaign
Offline Campaign,BWQ1663222,Offline Campaign
Offline Campaign,BWW22101715,Offline Campaign
Facebook,BWX876947,Facebook
Instagram,BXE108709,Instagram
Snapchat,BXJ1844835,Snapchat
Snapchat,BXJ2104169,Snapchat
Instagram,BXN1934764,Instagram
Google,BXQ1135619,Google
Offline Campaign,BXX265064,Offline Campaign
Organic,BXZ448810,Organic
Google,BYD1612624,Google
Google,BYE221417,Google
Google,BYG2461188,Google
Snapchat,BYK10101838,Snapchat
Instagram,BYP1472822,Instagram
Snapchat,BYR1096741,Snapchat
Instagram,BZG1715279,Instagram
Instagram,BZJ433081,Instagram
Offline Campaign,BZP1665196,Offline Campaign
Organic,BZT816959,Organic
Snapchat,BZV1112588,Snapchat
Google,BZW1584873,Google
Google,BZW1844256,Google
Facebook,BZW2461992,Facebook
Facebook,BZX624216,Facebook
Snapchat,BZZ22106899,Snapchat
Offline Campaign,CAA2106023,Offline Campaign
Instagram,CAE2582707,Instagram
Snapchat,CAG1496861,Snapchat
Facebook,CAO1449017,Facebook
Offline Campaign,CAY1891764,Offline Campaign
Facebook,CBA1141856,Facebook
Offline Campaign,CBD2674472,Offline Campaign
Instagram,CBE21102885,Instagram
Snapchat,CBI544637,Snapchat
Instagram,CBQ2676785,Instagram
Facebook,CBR1714685,Facebook
Google,CBT1947634,Google
Google,CBY77605,Google
Facebook,CCQ1352671,Facebook
Snapchat,CCY2136744,Snapchat
Organic,CCZ1519815,Organic
Google,CDF38694,Google
Organic,CEC1020808,Organic
Snapchat,CEE1820355,Snapchat
Snapchat,CEJ2455584,Snapchat
Offline Campaign,CEL1648933,Offline Campaign
Google,CEN2425017,Google
Google,CEQ1062262,Google
Organic,CEQ1731401,Organic
Offline Campaign,CET1477472,Offline Campaign
Instagram,CEZ1632055,Instagram
Facebook,CFD658728,Facebook
Facebook,CFF387528,Facebook
Organic,CFI1650046,Organic
Instagram,CFX317826,Instagram
Organic,CGM1916254,Organic
Facebook,CGP952419,Facebook
Snapchat,CGQ2073083,Snapchat
Offline Campaign,CGY1092706,Offline Campaign
Instagram,CHB342384,Instagram
Organic,CHH187563,Organic
Organic,CIA2199156,Organic
Snapchat,CIC1483277,Snapchat
Instagram,CIG1523835,Instagram
Instagram,CIK1168346,Instagram
Facebook,CIK6102384,Facebook
Snapchat,CIT2652935,Snapchat
Instagram,CIW1521813,Instagram
Facebook,CIY1963081,Facebook
Snapchat,CJB427210,Snapchat
Offline Campaign,CJF1199918,Offline Campaign
Offline Campaign,CJN2336822,Offline Campaign
Snapchat,CJO174727,Snapchat
Offline Campaign,CJT429769,Offline Campaign
Organic,CJV67284,Organic
Organic,CKB346527,Organic
Facebook,CKE478621,Facebook
Snapchat,CKG585422,Snapchat
Google,CKM2340065,Google
Offline Campaign,CKN1841247,Offline Campaign
Instagram,CKP2625443,Instagram
Google,CKW646257,Google
Snapchat,CLH397491,Snapchat
Instagram,CLI2184321,Instagram
Facebook,CLR2666120,Facebook
Offline Campaign,CLS1098532,Offline Campaign
Offline Campaign,CLV1161017,Offline Campaign
Instagram,CMO892874,Instagram
Snapchat,CMP1289328,Snapchat
Snapchat,CMQ25104244,Snapchat
Google,CMS2420802,Google
Google,CMY572090,Google
Facebook,CNB11103098,Facebook
Organic,CNC174973,Organic
Offline Campaign,CNM2117856,Offline Campaign
Offline Campaign,CNQ17109155,Offline Campaign
Facebook,CNR1538088,Facebook
Offline Campaign,CNS2291074,Offline Campaign
Facebook,CNS23108798,Facebook
Snapchat,COE859694,Snapchat
Instagram,COJ1057723,Instagram
Instagram,COL2146905,Instagram
Instagram,COO1391422,Instagram
Facebook,COZ1040959,Facebook
Instagram,COZ1291569,Instagram
Offline Campaign,CPA1881642,Offline Campaign
Facebook,CPB2289133,Facebook
Facebook,CPC1944769,Facebook
Facebook,CPC751750,Facebook
Instagram,CPL1380202,Instagram
Snapchat,CPY2270644,Snapchat
Facebook,CQG1580088,Facebook
Instagram,CQK1620880,Instagram
Offline Campaign,CQL485875,Offline Campaign
Organic,CQP845576,Organic
Instagram,CQV1578570,Instagram
Organic,CQX1368286,Organic
Google,CRA575798,Google
Facebook,CRI2120766,Facebook
Offline Campaign,CRK819044,Offline Campaign
Snapchat,CRL1126373,Snapchat
Snapchat,CRN119587,Snapchat
Instagram,CRS2283709,Instagram
Instagram,CRU311790,Instagram
Organic,CSA26104988,Organic
Offline Campaign,CSH1386412,Offline Campaign
Google,CSK2325803,Google
Instagram,CSQ1969969,Instagram
Snapchat,CSY2102099,Snapchat
Offline Campaign,CTB18104676,Offline Campaign
Snapchat,CTH1540242,Snapchat
Organic,CTJ2153457,Organic
Instagram,CTJ317703,Instagram
Snapchat,CTM1715720,Snapchat
Facebook,CUA25102240,Facebook
Offline Campaign,CUC2456943,Offline Campaign
Facebook,CUE1439840,Facebook
Offline Campaign,CUE2138748,Offline Campaign
Offline Campaign,CUF2215576,Offline Campaign
Organic,CUJ1446599,Organic
Offline Campaign,CUM2162562,Offline Campaign
Facebook,CUP1189316,Facebook
Offline Campaign,CVH1969024,Offline Campaign
Google,CVI1953409,Google
Google,CVP1296570,Google
Snapchat,CVS1599333,Snapchat
Facebook,CWD1837311,Facebook
Offline Campaign,CWF1667281,Offline Campaign
Instagram,CWF2479266,Instagram
Instagram,CWI22103137,Instagram
Facebook,CXE1912048,Facebook
Google,CXG2297695,Google
Facebook,CXL321498,Facebook
Snapchat,CXR5102669,Snapchat
Instagram,CXU758950,Instagram
Offline Campaign,CYC1882053,Offline Campaign
Organic,CYG423268,Organic
Instagram,CYL1185491,Instagram
Facebook,CYX2379254,Facebook
Offline Campaign,CZC1481285,Offline Campaign
Snapchat,CZJ1717760,Snapchat
Facebook,CZK185239,Facebook
Instagram,CZM1377043,Instagram
Google,CZU465940,Google
Offline Campaign,CZZ1570530,Offline Campaign
Snapchat,DAB1154927,Snapchat
Organic,DAG655653,Organic
Facebook,DAI570545,Facebook
Organic,DAO2676695,Organic
Google,DAT2350937,Google
Facebook,DAW1518804,Facebook
Offline Campaign,DBC1658338,Offline Campaign
Offline Campaign,DBF1923658,Offline Campaign
Offline Campaign,DBF39606,Offline Campaign
Google,DBG240209,Google
Facebook,DBL257875,Facebook
Facebook,DBR1293303,Facebook
Offline Campaign,DCF824567,Offline Campaign
Instagram,DCK1148504,Instagram
Snapchat,DCV1829526,Snapchat
Snapchat,DDM1061908,Snapchat
Offline Campaign,DDT612435,Offline Campaign
Instagram,DDT871397,Instagram
Snapchat,DEA1155311,Snapchat
Instagram,DED2073986,Instagram
Google,DEI1442639,Google
Instagram,DEO2267425,Instagram
Facebook,DEX1926649,Facebook
Facebook,DEZ157812,Facebook
Facebook,DFL566495,Facebook
Offline Campaign,DFP711046,Offline Campaign
Facebook,DGG344988,Facebook
Offline Campaign,DGL2253595,Offline Campaign
Facebook,DGR2421312,Facebook
Snapchat,DGU823715,Snapchat
Snapchat,DGV2163480,Snapchat
Instagram,DGX1088092,Instagram
Instagram,DHK2570923,Instagram
Snapchat,DHO128898,Snapchat
Snapchat,DHR1124363,Snapchat
Snapchat,DIE1158101,Snapchat
Google,DII650283,Google
Offline Campaign,DIP2041679,Offline Campaign
Organic,DIU1814520,Organic
Offline Campaign,DJL2188530,Offline Campaign
Snapchat,DJL320847,Snapchat
Facebook,DJP1612093,Facebook
Facebook,DJP295013,Facebook
Organic,DKE1642864,Organic
Facebook,DKJ1222311,Facebook
Organic,DLB261500,Organic
Snapchat,DLE17108519,Snapchat
Offline Campaign,DLE6105018,Offline Campaign
Facebook,DLF7101451,Facebook
Facebook,DLN988476,Facebook
Organic,DLT1029778,Organic
Instagram,DLU1951585,Instagram
Organic,DLV1839039,Organic
Instagram,DLW1985155,Instagram
Snapchat,DLW2516716,Snapchat
Google,DMG2164182,Google
Facebook,DMJ1370332,Facebook
Offline Campaign,DMQ352095,Offline Campaign
Facebook,DNC2369609,Facebook
Organic,DNE1247343,Organic
Snapchat,DNN523598,Snapchat
Facebook,DNW14108069,Facebook
Offline Campaign,DNX321561,Offline Campaign
Google,DNX423571,Google
Instagram,DNZ213848,Instagram
Google,DOF413662,Google
Organic,DOG1238184,Organic
Snapchat,DOG2078222,Snapchat
Offline Campaign,DOH1077073,Offline Campaign
Offline Campaign,DOH1168739,Offline Campaign
Google,DOH735013,Google
Google,DOK1642621,Google
Offline Campaign,DOP1254117,Offline Campaign
Google,DOR2684342,Google
Instagram,DOT1510434,Instagram
Facebook,DPB625737,Facebook
Instagram,DPH1883247,Instagram
Facebook,DPK1011424,Facebook
Offline Campaign,DQB963531,Offline Campaign
Google,DQE512729,Google
Facebook,DQU1723532,Facebook
Facebook,DQW291773,Facebook
Facebook,DRA713173,Facebook
Facebook,DRF1771154,Facebook
Instagram,DRF422650,Instagram
Google,DRG1988698,Google
Snapchat,DRQ2458977,Snapchat
Google,DRU1694968,Google
Offline Campaign,DRV2474247,Offline Campaign
Offline Campaign,DSN1864707,Offline Campaign
Google,DST1115960,Google
Organic,DSY2027267,Organic
Offline Campaign,DTG1181882,Offline Campaign
Instagram,DTH1655767,Instagram
Snapchat,DTM1480889,Snapchat
Offline Campaign,DTO16105324,Offline Campaign
Facebook,DTR1224336,Facebook
Offline Campaign,DTT820886,Offline Campaign
Organic,DTW939285,Organic
Offline Campaign,DTY213188,Offline Campaign
Offline Campaign,DTY2182749,Offline Campaign
Instagram,DTZ1354039,Instagram
Offline Campaign,DUB3107697,Offline Campaign
Snapchat,DUE2346680,Snapchat
Organic,DUG13108135,Organic
Offline Campaign,DUN17100335,Offline Campaign
Instagram,DUP1546350,Instagram
Organic,DUU1024747,Organic
Instagram,DVC388569,Instagram
Facebook,DVD1386214,Facebook
Facebook,DVF2127339,Facebook
Instagram,DVG1948924,Instagram
Offline Campaign,DVG2628344,Offline Campaign
Snapchat,DVT438724,Snapchat
Facebook,DVU1859496,Facebook
Google,DVZ2154723,Google
Organic,DWC2252452,Organic
Offline Campaign,DWE20105867,Offline Campaign
Snapchat,DWE2426226,Snapchat
Offline Campaign,DWI1140983,Offline Campaign
Instagram,DWL2599201,Instagram
Facebook,DWT2145360,Facebook
Offline Campaign,DWU2259826,Offline Campaign
Google,DXF1512072,Google
Instagram,DXI2041538,Instagram
Organic,DXP1544457,Organic
Snapchat,DXR710500,Snapchat
Facebook,DYF1746923,Facebook
Snapchat,DYH1557324,Snapchat
Google,DYP852314,Google
Offline Campaign,DYS990117,Offline Campaign
Instagram,DYV1697461,Instagram
Instagram,DZC563924,Instagram
Google,DZL348165,Google
Instagram,DZO1623748,Instagram
Offline Campaign,DZO1834482,Offline Campaign
Facebook,DZR1523931,Facebook
Offline Campaign,DZR256106,Offline Campaign
Offline Campaign,DZT2486655,Offline Campaign
Offline Campaign,EAD2227441,Offline Campaign
Organic,EAF642186,Organic
Offline Campaign,EAH1555989,Offline Campaign
Offline Campaign,EAH22109719,Offline Campaign
Offline Campaign,EAN2034320,Offline Campaign
Google,EAO875873,Google
Facebook,EAP14105225,Facebook
Snapchat,EAQ1549983,Snapchat
Organic,EAS543857,Organic
Snapchat,EBD1819479,Snapchat
Organic,EBK2435202,Organic
Facebook,EBK4101841,Facebook
Instagram,EBR1030405,Instagram
Offline Campaign,EBT131068,Offline Campaign
Snapchat,ECF2322344,Snapchat
Offline Campaign,ECK1124558,Offline Campaign
Offline Campaign,ECO237590,Offline Campaign
Instagram,ECU1138148,Instagram
Offline Campaign,ECW1496573,Offline Campaign
Offline Campaign,EDA6103203,Offline Campaign
Organic,EDB2413305,Organic
Facebook,EDE2531965,Facebook
Organic,EDF925251,Organic
Organic,EDN1343401,Organic
Offline Campaign,EDN461941,Offline Campaign
Organic,EDR872078,Organic
Facebook,EDV517082,Facebook
Google,EDX1418408,Google
Offline Campaign,EDY1875972,Offline Campaign
Offline Campaign,EED362079,Offline Campaign
Facebook,EEJ562178,Facebook
Google,EEL1397047,Google
Facebook,EFH1087582,Facebook
Facebook,EFM1450679,Facebook
Google,EFP2244454,Google
Facebook,EGA12102435,Facebook
Google,EGG1347946,Google
Offline Campaign,EGG3105321,Offline Campaign
Offline Campaign,EGI189751,Offline Campaign
Instagram,EGJ1101511,Instagram
Google,EGJ130789,Google
Offline Campaign,EGK741451,Offline Campaign
Instagram,EGL1292058,Instagram
Google,EHB661665,Google
Snapchat,EHG1162448,Snapchat
Facebook,EHL1151420,Facebook
Instagram,EHS2236036,Instagram
Snapchat,EHZ1948276,Snapchat
Offline Campaign,EIE858491,Offline Campaign
Google,EIK2181036,Google
Instagram,EIN353121,Instagram
Offline Campaign,EIR1756769,Offline Campaign
Offline Campaign,EIU26100305,Offline Campaign
Offline Campaign,EIV557975,Offline Campaign
Snapchat,EJA17102219,Snapchat
Facebook,EJD2057045,Facebook
Organic,EJE1212876,Organic
Offline Campaign,EJE642138,Offline Campaign
Offline Campaign,EJJ1341559,Offline Campaign
Snapchat,EKA836969,Snapchat
Instagram,EKE1574712,Instagram
Snapchat,EKH1073095,Snapchat
Instagram,EKH1677253,Instagram
Google,EKI1522266,Google
Facebook,EKU646488,Facebook
Facebook,ELM2389259,Facebook
Organic,ELP116041,Organic
Snapchat,ELT2339963,Snapchat
Offline Campaign,ELT697929,Offline Campaign
Facebook,ELW12103011,Facebook
Instagram,EMI912417,Instagram
Facebook,EMM248468,Facebook
Instagram,EMQ1297923,Instagram
Facebook,EMY2154324,Facebook
Offline Campaign,ENA2443380,Offline Campaign
Facebook,ENF2070461,Facebook
Offline Campaign,ENH1279473,Offline Campaign
Instagram,ENK2568433,Instagram
Facebook,ENN1197656,Facebook
Snapchat,ENR160720,Snapchat
Snapchat,ENZ424075,Snapchat
Facebook,EOB2465469,Facebook
Facebook,EOB2528161,Facebook
Facebook,EOC5103725,Facebook
Facebook,EOD337059,Facebook
Offline Campaign,EOP1388674,Offline Campaign
Facebook,EOP353967,Facebook
Facebook,EOU1109410,Facebook
Organic,EOW858863,Organic
Offline Campaign,EPD2520754,Offline Campaign
Organic,EQE1819779,Organic
Instagram,EQO2563750,Instagram
Offline Campaign,EQY1255671,Offline Campaign
Offline Campaign,ERD2349974,Offline Campaign
Instagram,ERH2479008,Instagram
Offline Campaign,ERI577484,Offline Campaign
Offline Campaign,ERQ1542684,Offline Campaign
Snapchat,ERQ2485578,Snapchat
Facebook,ERS1745762,Facebook
Instagram,ERT1475447,Instagram
Instagram,ERV1438436,Instagram
Offline Campaign,ERZ1317715,Offline Campaign
Organic,ESA1573080,Organic
Organic,ESC2136861,Organic
Snapchat,ESI1069132,Snapchat
Snapchat,ESN291398,Snapchat
Facebook,ESP1681726,Facebook
Instagram,ESS2382887,Instagram
Organic,ESU968547,Organic
Instagram,ESX1274961,Instagram
Instagram,ESY1331209,Instagram
Snapchat,ETE774583,Snapchat
Facebook,ETN1689499,Facebook
Google,ETN2393642,Google
Organic,ETO2154033,Organic
Google,ETP1260972,Google
Offline Campaign,ETP834392,Offline Campaign
Offline Campaign,ETV2589679,Offline Campaign
Facebook,ETW1698934,Facebook
Google,ETX988998,Google
Instagram,EUG1693294,Instagram
Facebook,EUL860450,Facebook
Organic,EUN2350847,Organic
Snapchat,EUQ1478084,Snapchat
Snapchat,EUU655302,Snapchat
Snapchat,EVC2698721,Snapchat
Instagram,EVH26104634,Instagram
Snapchat,EVN1646686,Snapchat
Snapchat,EVQ1210095,Snapchat
Facebook,EVS713536,Facebook
Instagram,EVV2351795,Instagram
Instagram,EVX1139798,Instagram
Instagram,EVX1445990,Instagram
Instagram,EWA1689427,Instagram
Offline Campaign,EWA215675,Offline Campaign
Facebook,EWB1974682,Facebook
Organic,EWE554306,Organic
Instagram,EWH922182,Instagram
Organic,EWK1781732,Organic
Facebook,EWK2171367,Facebook
Offline Campaign,EXA2669468,Offline Campaign
Snapchat,EXK191254,Snapchat
Snapchat,EXR16101706,Snapchat
Offline Campaign,EXS1477367,Offline Campaign
Instagram,EXX233882,Instagram
Organic,EYH2226841,Organic
Instagram,EYK1435982,Instagram
Google,EYL2311682,Google
Offline Campaign,EYO2696132,Offline Campaign
Offline Campaign,EYR18107613,Offline Campaign
Offline Campaign,EYY167614,Offline Campaign
Google,EZB1994749,Google
Snapchat,EZD1899258,Snapchat
Snapchat,EZM436924,Snapchat
Instagram,EZN2051495,Instagram
Instagram,EZS196987,Instagram
Facebook,EZU1041061,Facebook
Facebook,EZY1091809,Facebook
Snapchat,EZY1497443,Snapchat
Facebook,FAG674901,Facebook
Organic,FAH375687,Organic
Offline Campaign,FAM1355188,Offline Campaign
Google,FAN2290474,Google
Google,FAU1584918,Google
Facebook,FBB2096153,Facebook
Organic,FBD26100896,Organic
Instagram,FCB69285,Instagram
Snapchat,FCY1075240,Snapchat
Snapchat,FCY570788,Snapchat
Facebook,FCZ296810,Facebook
Snapchat,FDK1540818,Snapchat
Organic,FDO1013281,Organic
Organic,FDQ1113290,Organic
Google,FDW177668,Google
Organic,FDX1957303,Organic
Organic,FEC1614526,Organic
Google,FEC2030828,Google
Snapchat,FEL2481708,Snapchat
Snapchat,FEO2584822,Snapchat
Offline Campaign,FEU2048855,Offline Campaign
Offline Campaign,FEX932499,Offline Campaign
Snapchat,FFE2172186,Snapchat
Instagram,FFL1582818,Instagram
Organic,FFL212249,Organic
Organic,FFL2590159,Organic
Offline Campaign,FFP338196,Offline Campaign
Offline Campaign,FFR15102477,Offline Campaign
